ID,LATITUDE,LONGITUDE,SCHOOLNAME,ADDRESS,CITY,STATE
1,30.16869976,-93.23596041,A. A. Nelson Elementary School,1001 Country Club Road,Lake Charles,LA
2,29.90241157,-90.35185991,A. A. Songy Sr. Kindergarten Center,523 East Heather Drive,Luling,LA
3,32.46678339,-93.72195147,A. C. Steere Elementary School,4009 Youree Drive,Shreveport,LA
4,32.52568625,-92.65145223,A. E. Phillips Laboratory School,Hergot Street-LA Tech Campus,Ruston,LA
5,32.52328561,-92.718852,A. J. Brown Elementary School,300 Ralph Jones Drive,Grambling,LA
6,30.02251101,-90.26226022,A.C. Alexander Elementary School,600 West Esplanade Avenue,Kenner,LA
7,29.97141409,-90.10405502,A.D. Crossman Elementary School,4407 South Carrollton Avenue,New Orleans,LA
8,32.69609409,-92.0725539,A.L. Smith School,206 High Avenue,Sterlington,LA
9,29.9706353,-90.06049717,A.P. Tureaud Elementary School,2021 Pauger Street,New Orleans,LA
10,29.98280882,-92.10636053,Abbeville High School,1305 Wildcat Dr,Abbeville,LA
11,30.47830679,-90.0285568,Abita Springs Elementary School,22410 Level Street,Abita Springs,LA
12,30.47860679,-90.03755674,Abita Springs Middle School,72079 Maple Street,Abita Springs,LA
13,29.92641224,-90.10346088,Academy of the Sacred Heart (Girls) (C),4521 St. Charles Avenue,New Orleans,LA
14,30.43010194,-92.04416432,Academy of the Sacred Heart (Girls) (C),1821 Academy Road,Grand Coteau,LA
15,30.23090225,-92.38266053,Acadia Parish Alternative School,2122 North Parkerson Avenue,Crowley,LA
16,31.28748956,-92.41065841,Acadian Elementary School,310 Richmond Drive,Alexandria,LA
17,29.58401382,-90.71355897,Acadian Elementary School,1020 Saadi Street,Houma,LA
18,30.28400481,-92.00666325,Acadian Middle School,4201 Moss Street,Lafayette,LA
19,30.20700527,-92.09206206,Acadiana High School,315 Rue du Belier,Lafayette,LA
20,30.53719969,-92.05796514,Acadiana Preparatory School,1592 E Prudhomme St.,Opelousas,LA
21,29.91992831,-90.0920089,Agnes L. Bauduit Elementary School,3649 Laurel Street,New Orleans,LA
22,32.55528368,-93.71025164,Airline High School,2801 Airline Drive,Bossier City,LA
23,29.98956152,-90.20407572,Airline Park Elementary School,6201 Camphor Street,Metairie,LA
24,30.4998072,-90.58695473,Albany High School,29710 Mulberry Street,Albany,LA
25,30.50060717,-90.58345472,Albany Lower Elementary School,30051 West School Street,Albany,LA
26,30.49960722,-90.58975473,Albany Middle School,29675 Reeves Lane,Albany,LA
27,30.50000718,-90.58275473,Albany Upper Elementary School,29777 South Montpelier Drive,Albany,LA
28,29.95711136,-90.30836019,Albert Cammon Middle School,234 Pirate Drive,St. Rose,LA
29,29.96280423,-90.07898108,Albert Wicker Elementary School,2011 Bienville Street,New Orleans,LA
30,29.93566716,-90.11340788,Alcee Fortier High School,5624 Freret Street,New Orleans,LA
31,32.49698326,-93.73525169,Alexander Learning Center,1545 Coty Street,Shreveport,LA
32,31.30518964,-92.50125776,Alexandria Country Day School,5603 Bayou Rapides Road,Alexandria,LA
33,31.30098961,-92.47615794,Alexandria Middle Magnet School,122 Maryland Avenue,Alexandria,LA
34,31.26968974,-92.48965811,Alexandria Senior High School,800 Ola Lane,Alexandria,LA
35,30.01171423,-90.22937451,Alfred Bonnabel High School,2801 Bruin Drive,Kenner,LA
36,30.17609975,-93.25436064,Alfred M. Barbe High School,2200 West McNeese,Lake Charles,LA
37,29.91831272,-89.9996612,Alice Harte Elementary Charter School,5300 Berkley Drive,New Orleans,LA
38,30.01371139,-90.19326061,Alice M.Birney Elementary School,4829 Hastings Street,Metairie,LA
39,30.24900527,-92.02036283,Alice N. Boucher Elementary School,400 Patterson Street,Lafayette,LA
40,29.8131119,-90.46295945,Allemands Elementary School,1471 WPA Road (Hwy. 632),Des Allemands,LA
41,30.56709542,-92.7917568,Allen Correctional Center,3751 Lauderdale Woodyard Road,Kinder,LA
42,30.81679292,-92.65795705,Allen Parish Alternative School,124 South 13th Street,Oakdale,LA
43,31.29658959,-92.45055812,Alma Redwine Elementary School,2121 Mason Street,Alexandria,LA
44,30.33461024,-89.76166137,Alton Elementary School,38276 North Fifth Avenue,Slidell,LA
45,32.48478332,-93.72525158,American Child Day Care Center,426 East Washington,Shreveport,LA
#46,29.89861229,-90.11266076,Ames Elementary School,500 Pine Street,Marrero,LA
47,30.54440859,-90.96835423,Amite Christian School,7100 Amite Church Road,Denham Springs,LA
48,30.72390541,-90.50185192,Amite Elementary School,301 Vernon Avenue,Amite,LA
49,30.72240544,-90.50665195,Amite High School,403 South Laurel Street,Amite,LA
50,31.25458952,-93.34804991,Anacoco Elementary School,4726 Port Arthur Avenue,Anacoco,LA
51,31.25478952,-93.34824991,Anacoco High School,4740 Port Arthur Avenue,Anacoco,LA
52,30.01001034,-91.83746053,Anderson Middle School,1059 Anderson Street,New Iberia,LA
53,29.94595818,-90.10267494,Andrew H. Wilson Elementary School,3617 General Pershing Street,New Orleans,LA
54,29.93655034,-90.07298901,Andrew Jackson Elementary School,1400 Camp Street,New Orleans,LA
55,29.95001274,-89.98346153,Andrew Jackson Elementary School,201 8th Street,Chalmette,LA
56,29.95004474,-89.98348653,Andrew Jackson Fundamental High School,201 8th Street,Chalmette,LA
57,29.73731355,-90.80505906,Andrew Price TAPPS,1849 West Park,Schriever,LA
58,30.96829985,-89.81125,Angie Junior High School,64433 Dixon Street,Angie,LA
#59,30.7773025,-89.86785289,Annunciation (C),511 Avenue C,Bogalusa,LA
60,32.55528367,-93.72555173,Apollo Elementary School,2400 Viking Drive,Bossier City,LA
61,29.97021261,-89.99746141,Arabi Elementary School,1 Mustang Drive,Arabi,LA
62,32.55758351,-92.90055102,Arcadia High School,967  Daniel Street,Arcadia,LA
63,29.91081254,-90.04516102,Archbishop Blenk School (Girls) (C),17 Gretna Boulevard,Gretna,LA
64,30.00551131,-90.2250606,Archbishop Chapelle High School (Girls) (C),8800 Veterans Blvd.,Metairie,LA
65,30.52630633,-90.11305566,Archbishop Hannan High School(C),75376 River Road,St. Benedict,LA
66,30.52630633,-90.11305566,Archbishop Hannan Junior High School (C),75376 River Road,St. Benedict,LA
67,29.98951174,-90.15986088,Archbishop Rummel Jr. High School (Boys)(C),1901 Severn Avenue,Metairie,LA
68,29.98951174,-90.15986088,Archbishop Rummel Sr. High School (Boys) (C),1901 Severn Avenue,Metairie,LA
69,29.89301237,-90.10006079,Archbishop Shaw Junior High School (C),1000 Barataria Boulevard,Marrero,LA
70,29.89301237,-90.10006079,Archbishop Shaw Sr. High School (C),1000 Barataria Boulevard,Marrero,LA
71,29.86881271,-90.03136092,Arden Cahill Academy,3101 Wall Boulevard,Gretna,LA
72,30.38570956,-91.17075481,Arlington Preparatory Academy,931 Dean Lee Drive,Baton Rouge,LA
73,30.24530288,-92.27426113,Armstrong Middle School,700 Martin Luther King Drive,Rayne,LA
74,30.39730362,-91.93606375,Arnaudville Elementary School,120 West Railroad Ave.,Arnaudville,LA
75,32.45988342,-93.71885142,Arthur Circle Elementary School,261 Arthur Avenue,Shreveport,LA
76,31.29128958,-92.43285826,Arthur F. Smith Middle Magnet School,3100 Jones Street,Alexandria,LA
77,30.21960576,-92.0175626,Ascension Day School (E),1030 Johnston Street,Lafayette,LA
78,30.10221199,-90.98525714,Ascension Diocesan Regional School (C),311 St. Vincent Street,Donaldsonville,LA
79,30.08171042,-90.48215851,Ascension of Our Lord School (C),1809 Greenwood Drive,LaPlace,LA
80,30.1404115,-90.9487569,Ascension Parish Alternative School,38608 Hwy 22,Darrow,LA
81,30.20210608,-92.01296248,Ashton Grace Montessori,131 South Audubon Blvd.,Lafayette,LA
82,31.71259045,-91.95935175,ASPIRE,180 Creek Bend Road,Jonesville,LA
83,29.96441128,-91.77576006,Assembly Christian School (AG),4219 East Admiral Doyle,New Iberia,LA
84,29.94141371,-91.02265821,Assumption High School,4880 Highway 308,Napoleonville,LA
85,32.6182821,-93.00645048,Athens High School,15520 Highway 9,Athens,LA
86,32.4355834,-93.75865154,Atkins Technology Elementary School,7611 St.Vincent Avenue,Shreveport,LA
87,31.80649089,-92.73275206,Atlanta School,118 School Road,Atlanta,LA
88,30.00921132,-90.21676058,Atonement Lutheran School,6500 Riverside Drive,Metairie,LA
89,29.9341121,-90.12946082,Audubon Charter School,428 Broadway Street,New Orleans,LA
90,30.44660923,-91.06575459,Audubon Elementary School,10730 Goodwood Blvd,Baton Rouge,LA
91,30.051312,-89.97826123,Auntie B. Preschool and Kindergarten,8001 Lafourche Street,New Orleans,LA
92,30.01823601,-90.05623006,Avery Alexander School,5800 St. Roch Avenue,New Orleans,LA
93,29.90321108,-91.91075992,Avery Island Elementary School,Hwy 329 Avery Island Road,Avery Island,LA
94,30.97439262,-92.03426275,Avoyelles Correctional Center,1630 Prison Road,Cottonport,LA
95,31.03459306,-91.97346141,Avoyelles High School,287 Main Street,Moreauville,LA
96,31.05679116,-92.12086125,Avoyelles Parish Alternative Site (APAS),4137 E School Street,Hesmer,LA
97,31.08089124,-92.04696119,Avoyelles Public Charter School,201 Longfellow Rd,Mansura,LA
98,30.8279062,-91.3801543,Bains Elementary School,9792 Bains Road,St. Francisville,LA
99,30.8279062,-91.3801543,Bains Lower Elementary School,9794 Bains Road,St. Francisville,LA
100,30.58360808,-91.1340541,Baker Alternative School,6009 Groom road,Baker,LA
101,30.58380801,-91.1599541,Baker Heights Elementary School,3750 Harding Street,Baker,LA
102,30.58820797,-91.16705409,Baker High School,3200 Groom Road,Baker,LA
103,30.58400808,-91.1349541,Baker Middle School,5903  Groom Road,Baker,LA
104,30.580908,-91.1757541,Bakerfield Elementary School,2550 South Street,Baker,LA
105,29.8357136,-91.54445802,Baldwin Elementary School,504 Main Street,Baldwin,LA
106,31.41708921,-92.40515736,Ball Elementary School,89 Camp Livingston Road,Ball,LA
107,29.99921063,-91.81736037,Bank Avenue Elementary School,500 Bank Avenue,New Iberia,LA
108,30.51450851,-91.16845417,Banks Elementary School,2401 72nd Avenue,Baton Rouge,LA
109,30.01345829,-90.01097329,Barbara Jordan Elementary School,4348 Reynes Street,New Orleans,LA
110,30.23279951,-93.21536021,Barbe Elementary School,400 Penn Street,Lake Charles,LA
111,32.48309269,-92.10935308,Barkdull Faulk Elementary School,2110 Jackson Street,Monroe,LA
112,32.48618326,-93.75225173,Barret Elementary School,2600 Barret Street,Shreveport,LA
113,30.48669652,-92.59555923,Basile High School,2835 2nd Street,Basile,LA
114,32.31699546,-91.71005233,Baskin School,1926 Hwy 857,Baskin,LA
115,32.78839517,-91.91815408,Bastrop High School,402 Highland Avenue,Bastrop,LA
116,30.44410909,-91.1595545,Baton Rouge High School,2825 Government St,Baton Rouge,LA
117,30.45830915,-91.06285453,Baton Rouge Lutheran School,10925 Florida Boulevard,Baton Rouge,LA
118,30.50020867,-91.14425421,Baton Rouge Marine Institute  Inc.,5555 Beechwood Dr,Baton Rouge,LA
119,30.51810857,-91.1304542,Baton Rouge Preparatory Academy,5959 Cadillac Street,Baton Rouge,LA
120,30.42770924,-91.1520546,Baton Rouge Visual and Performing Arts Center,2040 So Acadian Thwy,Baton Rouge,LA
121,29.62411518,-90.91005905,Bayou Black Elementary School,4449 Bayou Black Drive,Houma,LA
122,29.60181336,-90.63885902,Bayou Blue Elementary School,1916 Bayou Blue Road,Houma,LA
123,29.64171331,-90.68035906,Bayou Blue Middle School,196 Mazerac Street,Houma,LA
124,29.76861225,-90.5598593,Bayou Boeuf Elementary School,4138 Hwy 307,Thibodaux,LA
125,30.8141925,-92.35076171,Bayou Chicot Elementary School,4576 U.S. Highway 167 North,Ville Platte,LA
126,30.31530896,-89.94465893,Bayou Lacombe Middle School,27527 St. Joseph,Lacombe,LA
127,29.74021238,-90.55635931,Bayou Lafourche Marine Institute,942 Hwy 90 East,Raceland,LA
128,29.71011588,-91.07725881,Bayou L'Ourse Primary School,216 Lark Drive,Morgan City,LA
129,29.687116,-91.26335849,Bayou Vista Elementary School,1155 Delmar Street,Morgan City,LA
130,30.28761073,-89.80686151,Bayou Woods Elementary School,35614 Liberty Drive,Slidell,LA
131,30.40740308,-91.96996416,Beau Chene High School,7076 Hwy. 93,Arnaudville,LA
132,30.84109159,-93.27195271,Beauregard Alternative School,506 Martin Luther King Drive,DeRidder,LA
133,32.92629616,-91.88695387,Beekman Junior High School,15190 A. M. Baker Road,Bastrop,LA
134,30.47830681,-90.09355636,Beginnings-A Montessori School,502 North Florida,Covington,LA
135,30.46670912,-91.0478545,Belaire High School,12121 Tams Drive,Baton Rouge,LA
136,30.46770893,-91.14525439,Belfair Montessori School,4451 Fairfields Ave,Baton Rouge,LA
137,29.87961268,-90.03176096,Believer's Life Christian Academy (AG),501 Lapalco Blvd.,Gretna,LA
138,30.11170118,-92.92515617,Bell City High School,7161 Highway 14 East,Bell City,LA
139,32.48658339,-93.67885133,Bellaire Elementary School,1310 Bellaire Boulevard,Bossier City,LA
140,29.82591289,-90.01396083,Belle Chasse Academy,100 Fifth Street NAS JRB,Belle Chasse,LA
141,29.85551291,-89.98536113,Belle Chasse High School,8346 Highway 23,Belle Chasse,LA
142,29.85546991,-89.98532813,Belle Chasse High School,8346 Highway 23,Belle Chasse,LA
143,29.7201132,-89.99826037,Belle Chasse Middle School,13476 Highway 23,Belle Chasse,LA
144,29.89841283,-89.98336133,Belle Chasse Primary School,539 F. Edward Hebert Blvd.,Belle Chasse,LA
145,30.00981097,-91.7477603,Belle Place Middle School,4110 Loreauville Road,New Iberia,LA
146,30.04641267,-91.04545763,Belle Rose Middle School,7177 Highway 1,Belle Rose,LA
147,30.04801265,-91.04175761,Belle Rose Primary School,7100 Highway 308,Belle Rose,LA
148,30.51510887,-90.99275432,Bellingrath Hills Elementary School,6612 Audusson,Greenwell Springs,LA
